"from","to","weight","name","colour","size","curve","forcecurve","is3d","arrowsize","arrowlength","dash","isdashed","from_name","from_present","from_x","from_y","from_z","from_colour","from_shape","from_size","from_shorten","to_name","to_present","to_x","to_y","to_z","to_colour","to_shape","to_size","to_shorten","red","green","blue"
10,19,1,"J_S","blue",0.01,0,TRUE,TRUE,0,0,9.92708874098054,TRUE,"J",TRUE,0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,"S",TRUE,-0.88545602565321,-0.464723172043768,-0.5,"blue","sphere",0.05,0,0,0,1
19,24,1,"S_X","blue",0.01,0,TRUE,TRUE,0,0,5.68064746731156,TRUE,"S",TRUE,-0.88545602565321,-0.464723172043768,-0.5,"blue","sphere",0.05,0,"X",TRUE,0.120536680255322,-0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
1,21,1,"A_U","blue",0.01,0,TRUE,TRUE,0,0,2.39315664287558,TRUE,"A",TRUE,0.354604887042536,0.935016242685415,-0.5,"blue","sphere",0.05,0,"U",TRUE,-0.120536680255323,0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
6,24,1,"F_X","blue",0.01,0,TRUE,TRUE,0,0,9.35016242685415,TRUE,"F",TRUE,0.568064746731156,0.822983865893656,-0.5,"blue","sphere",0.05,0,"X",TRUE,0.120536680255322,-0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
1,6,1,"A_F","blue",0.01,0,TRUE,TRUE,0,0,1.20536680255323,TRUE,"A",TRUE,0.354604887042536,0.935016242685415,-0.5,"blue","sphere",0.05,0,"F",TRUE,0.568064746731156,0.822983865893656,-0.5,"blue","sphere",0.05,0,0,0,1
6,8,1,"F_H","blue",0.01,0,TRUE,TRUE,0,0,5.68064746731156,TRUE,"F",TRUE,0.568064746731156,0.822983865893656,-0.5,"blue","sphere",0.05,0,"H",TRUE,0.970941817426052,-0.239315664287559,-0.5,"blue","sphere",0.05,0,0,0,1
18,24,1,"R_X","blue",0.01,0,TRUE,TRUE,0,0,1.20536680255323,TRUE,"R",TRUE,-0.120536680255324,-0.992708874098054,-0.5,"blue","sphere",0.05,0,"X",TRUE,0.120536680255322,-0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
8,18,1,"H_R","blue",0.01,0,TRUE,TRUE,0,0,6.63122658240795,TRUE,"H",TRUE,0.970941817426052,-0.239315664287559,-0.5,"blue","sphere",0.05,0,"R",TRUE,-0.120536680255324,-0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
1,23,1,"A_W","blue",0.01,0,TRUE,TRUE,0,0,3.54604887042536,TRUE,"A",TRUE,0.354604887042536,0.935016242685415,-0.5,"blue","sphere",0.05,0,"W",TRUE,0.88545602565321,0.464723172043769,-0.5,"blue","sphere",0.05,0,0,0,1
18,23,1,"R_W","blue",0.01,0,TRUE,TRUE,0,0,8.8545602565321,TRUE,"R",TRUE,-0.120536680255324,-0.992708874098054,-0.5,"blue","sphere",0.05,0,"W",TRUE,0.88545602565321,0.464723172043769,-0.5,"blue","sphere",0.05,0,0,0,1
1,16,1,"A_P","blue",0.01,0,TRUE,TRUE,0,0,10,TRUE,"A",TRUE,0.354604887042536,0.935016242685415,-0.5,"blue","sphere",0.05,0,"P",TRUE,-0.354604887042536,-0.935016242685415,-0.5,"blue","sphere",0.05,0,0,0,1
16,18,1,"P_R","blue",0.01,0,TRUE,TRUE,0,0,1.20536680255323,TRUE,"P",TRUE,-0.354604887042536,-0.935016242685415,-0.5,"blue","sphere",0.05,0,"R",TRUE,-0.120536680255324,-0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
4,24,1,"D_X","blue",0.01,0,TRUE,TRUE,0,0,8.22983865893656,TRUE,"D",TRUE,-0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,"X",TRUE,0.120536680255322,-0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
4,6,1,"D_F","blue",0.01,0,TRUE,TRUE,0,0,8.22983865893656,TRUE,"D",TRUE,-0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,"F",TRUE,0.568064746731156,0.822983865893656,-0.5,"blue","sphere",0.05,0,0,0,1
3,10,1,"C_J","blue",0.01,0,TRUE,TRUE,0,0,10,TRUE,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,"J",TRUE,0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,0,0,1
3,21,1,"C_U","blue",0.01,0,TRUE,TRUE,0,0,7.48510748171101,TRUE,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,"U",TRUE,-0.120536680255323,0.992708874098054,-0.5,"blue","sphere",0.05,0,0,0,1
1,3,1,"A_C","blue",0.01,0,TRUE,TRUE,0,0,8.8545602565321,TRUE,"A",TRUE,0.354604887042536,0.935016242685415,-0.5,"blue","sphere",0.05,0,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,0,0,1
3,6,1,"C_F","blue",0.01,0,TRUE,TRUE,0,0,9.35016242685415,TRUE,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,"F",TRUE,0.568064746731156,0.822983865893656,-0.5,"blue","sphere",0.05,0,0,0,1
3,23,1,"C_W","blue",0.01,0,TRUE,TRUE,0,0,9.92708874098054,TRUE,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,"W",TRUE,0.88545602565321,0.464723172043769,-0.5,"blue","sphere",0.05,0,0,0,1
3,9,1,"C_I","blue",0.01,0,TRUE,TRUE,0,0,8.22983865893656,TRUE,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,"I",TRUE,0.568064746731156,-0.822983865893657,-0.5,"blue","sphere",0.05,0,0,0,1
3,16,1,"C_P","blue",0.01,0,TRUE,TRUE,0,0,4.64723172043769,TRUE,"C",TRUE,-0.970941817426052,-0.239315664287557,-0.5,"blue","sphere",0.05,0,"P",TRUE,-0.354604887042536,-0.935016242685415,-0.5,"blue","sphere",0.05,0,0,0,1
13,15,0,"M_O","red",0,0,TRUE,TRUE,0,0,5.68064746731156,TRUE,"M",FALSE,1,0,0.5,"green","sphere",0,0,"O",FALSE,0.354604887042536,-0.935016242685415,0.5,"green","sphere",0,0,1,0,0
13,26,0,"M_Z","red",0,0,TRUE,TRUE,0,0,10,TRUE,"M",FALSE,1,0,0.5,"green","sphere",0,0,"Z",FALSE,-1,1.22460635382238e-16,0.5,"green","sphere",0,0,1,0,0
2,23,0,"B_W","red",0,0,TRUE,TRUE,0,0,11.115173901982,TRUE,"B",FALSE,-0.748510748171101,-0.663122658240795,0.5,"green","sphere",0,0,"W",TRUE,0.88545602565321,0.464723172043769,-0.5,"blue","sphere",0.05,0,1,0,0
4,17,0,"D_Q","red",0,0,TRUE,TRUE,0,0,6.82618214402767,TRUE,"D",TRUE,-0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,"Q",FALSE,-0.354604887042535,0.935016242685415,0.5,"green","sphere",0,0,1,0,0
4,15,0,"D_O","red",0,0,TRUE,TRUE,0,0,10.1687382371933,TRUE,"D",TRUE,-0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,"O",FALSE,0.354604887042536,-0.935016242685415,0.5,"green","sphere",0,0,1,0,0
10,12,0,"J_L","red",0,0,TRUE,TRUE,0,0,9.62965442537409,TRUE,"J",TRUE,0.970941817426052,0.239315664287558,-0.5,"blue","sphere",0.05,0,"L",FALSE,-0.568064746731156,0.822983865893656,0.5,"green","sphere",0,0,1,0,0
1,2,0,"A_B","red",0,0,TRUE,TRUE,0,0,10.9212087830359,TRUE,"A",TRUE,0.354604887042536,0.935016242685415,-0.5,"blue","sphere",0.05,0,"B",FALSE,-0.748510748171101,-0.663122658240795,0.5,"green","sphere",0,0,1,0,0
17,25,0,"Q_Y","red",0,0,TRUE,TRUE,0,0,8.8545602565321,TRUE,"Q",FALSE,-0.354604887042535,0.935016242685415,0.5,"green","sphere",0,0,"Y",FALSE,-0.568064746731156,-0.822983865893656,0.5,"green","sphere",0,0,1,0,0
7,22,0,"G_V","red",0,0,TRUE,TRUE,0,0,8.8545602565321,TRUE,"G",FALSE,0.120536680255323,0.992708874098054,0.5,"green","sphere",0,0,"V",FALSE,0.748510748171101,-0.663122658240796,0.5,"green","sphere",0,0,1,0,0
22,23,0,"V_W","red",0,0,TRUE,TRUE,0,0,7.56767835256449,TRUE,"V",FALSE,0.748510748171101,-0.663122658240796,0.5,"green","sphere",0,0,"W",TRUE,0.88545602565321,0.464723172043769,-0.5,"blue","sphere",0.05,0,1,0,0
2,22,0,"B_V","red",0,0,TRUE,TRUE,0,0,7.48510748171101,TRUE,"B",FALSE,-0.748510748171101,-0.663122658240795,0.5,"green","sphere",0,0,"V",FALSE,0.748510748171101,-0.663122658240796,0.5,"green","sphere",0,0,1,0,0
6,19,0,"F_S","red",0,0,TRUE,TRUE,0,0,9.70941817426052,TRUE,"F",TRUE,0.568064746731156,0.822983865893656,-0.5,"blue","sphere",0.05,0,"S",TRUE,-0.88545602565321,-0.464723172043768,-0.5,"blue","sphere",0.05,0,1,0,0
13,19,0,"M_S","red",0,0,TRUE,TRUE,0,0,10.9212087830359,TRUE,"M",FALSE,1,0,0.5,"green","sphere",0,0,"S",TRUE,-0.88545602565321,-0.464723172043768,-0.5,"blue","sphere",0.05,0,1,0,0
2,19,0,"B_S","red",0,0,TRUE,TRUE,0,0,5.14323916697419,TRUE,"B",FALSE,-0.748510748171101,-0.663122658240795,0.5,"green","sphere",0,0,"S",TRUE,-0.88545602565321,-0.464723172043768,-0.5,"blue","sphere",0.05,0,1,0,0
9,20,0,"I_T","red",0,0,TRUE,TRUE,0,0,11.115173901982,TRUE,"I",TRUE,0.568064746731156,-0.822983865893657,-0.5,"blue","sphere",0.05,0,"T",FALSE,-0.748510748171101,0.663122658240796,0.5,"green","sphere",0,0,1,0,0
16,26,0,"P_Z","red",0,0,TRUE,TRUE,0,0,7.56767835256449,TRUE,"P",TRUE,-0.354604887042536,-0.935016242685415,-0.5,"blue","sphere",0.05,0,"Z",FALSE,-1,1.22460635382238e-16,0.5,"green","sphere",0,0,1,0,0
2,16,0,"B_P","red",0,0,TRUE,TRUE,0,0,5.54321194952344,TRUE,"B",FALSE,-0.748510748171101,-0.663122658240795,0.5,"green","sphere",0,0,"P",TRUE,-0.354604887042536,-0.935016242685415,-0.5,"blue","sphere",0.05,0,1,0,0
11,15,0,"K_O","red",0,0,TRUE,TRUE,0,0,8.22983865893656,TRUE,"K",FALSE,0.748510748171101,0.663122658240795,0.5,"green","sphere",0,0,"O",FALSE,0.354604887042536,-0.935016242685415,0.5,"green","sphere",0,0,1,0,0
8,26,0,"H_Z","red",0,0,TRUE,TRUE,0,0,11.115173901982,TRUE,"H",TRUE,0.970941817426052,-0.239315664287559,-0.5,"blue","sphere",0.05,0,"Z",FALSE,-1,1.22460635382238e-16,0.5,"green","sphere",0,0,1,0,0
8,16,0,"H_P","red",0,0,TRUE,TRUE,0,0,7.48510748171101,TRUE,"H",TRUE,0.970941817426052,-0.239315664287559,-0.5,"blue","sphere",0.05,0,"P",TRUE,-0.354604887042536,-0.935016242685415,-0.5,"blue","sphere",0.05,0,1,0,0
7,24,0,"G_X","red",0,0,TRUE,TRUE,0,0,11.115173901982,TRUE,"G",FALSE,0.120536680255323,0.992708874098054,0.5,"green","sphere",0,0,"X",TRUE,0.120536680255322,-0.992708874098054,-0.5,"blue","sphere",0.05,0,1,0,0
