"name","present","x","y","z","colour","shape","size","shorten","red","green","blue"
"A",TRUE,0.354604887042536,0.935016242685415,0,"red","sphere",0.05,0,1,0,0
"B",FALSE,-0.748510748171101,-0.663122658240795,0,"red","sphere",0,0,1,0,0
"C",TRUE,-0.970941817426052,-0.239315664287557,0,"red","sphere",0.05,0,1,0,0
"D",TRUE,-0.970941817426052,0.239315664287558,0,"red","sphere",0.05,0,1,0,0
"E",FALSE,-0.88545602565321,0.464723172043769,0,"red","sphere",0,0,1,0,0
"F",TRUE,0.568064746731156,0.822983865893656,0,"red","sphere",0.05,0,1,0,0
"G",FALSE,0.120536680255323,0.992708874098054,0,"red","sphere",0,0,1,0,0
"H",TRUE,0.970941817426052,-0.239315664287559,0,"red","sphere",0.05,0,1,0,0
"I",TRUE,0.568064746731156,-0.822983865893657,0,"red","sphere",0.05,0,1,0,0
"J",TRUE,0.970941817426052,0.239315664287558,0,"red","sphere",0.05,0,1,0,0
"K",FALSE,0.748510748171101,0.663122658240795,0,"red","sphere",0,0,1,0,0
"L",FALSE,-0.568064746731156,0.822983865893656,0,"red","sphere",0,0,1,0,0
"M",FALSE,1,0,0,"red","sphere",0,0,1,0,0
"N",FALSE,0.88545602565321,-0.464723172043769,0,"red","sphere",0,0,1,0,0
"O",FALSE,0.354604887042536,-0.935016242685415,0,"red","sphere",0,0,1,0,0
"P",TRUE,-0.354604887042536,-0.935016242685415,0,"red","sphere",0.05,0,1,0,0
"Q",FALSE,-0.354604887042535,0.935016242685415,0,"red","sphere",0,0,1,0,0
"R",TRUE,-0.120536680255324,-0.992708874098054,0,"red","sphere",0.05,0,1,0,0
"S",TRUE,-0.88545602565321,-0.464723172043768,0,"red","sphere",0.05,0,1,0,0
"T",FALSE,-0.748510748171101,0.663122658240796,0,"red","sphere",0,0,1,0,0
"U",TRUE,-0.120536680255323,0.992708874098054,0,"red","sphere",0.05,0,1,0,0
"V",FALSE,0.748510748171101,-0.663122658240796,0,"red","sphere",0,0,1,0,0
"W",TRUE,0.88545602565321,0.464723172043769,0,"red","sphere",0.05,0,1,0,0
"X",TRUE,0.120536680255322,-0.992708874098054,0,"red","sphere",0.05,0,1,0,0
"Y",FALSE,-0.568064746731156,-0.822983865893656,0,"red","sphere",0,0,1,0,0
"Z",FALSE,-1,1.22460635382238e-16,0,"red","sphere",0,0,1,0,0
